tweet_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,valence_intensity,anger_intensity,fear_intensity,sadness_intensity,joy_intensity,sentiment_category,emotion_category,keyword_used,user_ID
1245754835632377858,0,1,1,0,0,0,0,0,0,0,0.35,0.5820000000000001,0.515,0.462,0.268,negative,anger,covid,758150516933177344
1284131058699698184,1,0,1,0,0,0,0,0,0,0,0.442,0.463,0.552,0.407,0.313,negative,fear,covid,40366824
1256622191027748864,1,0,0,0,0,0,0,0,0,0,0.298,0.426,0.451,0.5489999999999999,0.11199999999999999,very negative,sadness,covid,3098361703
1273292072594878466,0,1,0,0,0,0,0,0,0,0,0.259,0.61,0.545,0.496,0.172,very negative,anger,covid,1010320666648645632
1250910351580938245,1,0,0,1,0,0,0,0,0,0,0.452,0.395,0.37,0.371,0.32,negative,anger,covid,79449626
1241598783563202561,0,0,0,1,0,0,0,0,0,0,0.544,0.37799999999999995,0.387,0.37,0.429,positive,joy,covid,1190885079087632384
1250614743460712449,1,0,0,0,0,0,0,0,0,0,0.434,0.485,0.491,0.433,0.317,negative,fear,covid,132813649
1288687565223190529,1,0,0,0,0,0,0,0,0,0,0.502,0.421,0.529,0.431,0.32299999999999995,neutral,no specific emotion,covid,1241485176825356289
1240420011531014145,1,0,0,1,0,0,0,0,0,0,0.518,0.4,0.42,0.423,0.29100000000000004,neutral,no specific emotion,covid,2738523633
1253513066928500736,0,1,0,0,0,0,0,0,0,0,0.42,0.397,0.43799999999999994,0.415,0.257,negative,fear,covid,347990355
1245795639885168641,0,1,0,0,0,0,0,0,0,0,0.4970000000000001,0.413,0.46299999999999997,0.4,0.29100000000000004,neutral,no specific emotion,covid,978087519072997376
1265198515380203520,1,1,0,0,0,0,0,0,0,0,0.445,0.42,0.511,0.40700000000000003,0.295,negative,fear,covid,15755669
1245885720759283712,1,0,0,0,0,0,0,0,0,0,0.546,0.349,0.309,0.325,0.391,positive,joy,covid,232144061
1274769012782764034,1,1,1,1,1,1,1,1,1,1,0.35,0.483,0.40299999999999997,0.51,0.16699999999999998,negative,sadness,covid,1176579236179652612
1263790019950661632,1,0,1,0,0,0,0,0,0,0,0.423,0.444,0.561,0.544,0.24,negative,fear,covid,14602259
1238195051492249600,1,1,1,1,0,0,0,0,0,1,0.295,0.483,0.624,0.518,0.175,very negative,fear,covid,1156113882
1238376135534223360,0,1,0,0,0,0,0,0,0,0,0.578,0.363,0.37,0.278,0.35700000000000004,positive,joy,covid,1121299391816654848
1247038997458796544,0,1,1,0,0,0,0,0,0,0,0.35100000000000003,0.541,0.5670000000000001,0.485,0.204,negative,fear,covid,220921308
1263503239338549248,1,0,0,1,0,0,0,0,0,0,0.332,0.46799999999999997,0.512,0.46,0.23199999999999998,negative,fear,covid,1226714039931195392
1278125831601057793,0,1,0,0,0,0,0,0,0,0,0.413,0.562,0.415,0.446,0.3,negative,anger,corona,1065017745543053313
1240353959669313536,0,1,1,0,0,0,0,0,0,0,0.593,0.342,0.23199999999999998,0.243,0.40399999999999997,positive,joy,covid,49720839
1267556023029637120,1,1,1,1,1,1,1,1,1,1,0.474,0.45399999999999996,0.405,0.36,0.287,negative,anger,covid,574405888
1238544679672647681,1,1,1,1,1,1,1,1,1,1,0.423,0.358,0.507,0.436,0.28,negative,fear,covid,1215485118091026436
1240031302243487746,1,0,0,0,0,0,0,0,0,0,0.491,0.41700000000000004,0.318,0.36200000000000004,0.359,neutral,no specific emotion,covid,18472450
1275977864643375104,0,1,0,0,0,1,0,0,0,0,0.5589999999999999,0.406,0.45299999999999996,0.33799999999999997,0.39,positive,joy,covid,959419490130784257
1276188766235959303,0,1,0,1,0,0,0,0,0,0,0.531,0.35200000000000004,0.44,0.344,0.349,positive,joy,covid,3241828697
1250853635380125696,1,0,0,0,0,0,0,0,0,0,0.303,0.5479999999999999,0.645,0.5710000000000001,0.23399999999999999,negative,fear,covid,2326112238
1267467599723593728,1,0,0,1,0,0,0,0,0,0,0.535,0.433,0.396,0.34700000000000003,0.377,positive,joy,covid,1023117676661665793
1279122236503478275,1,0,0,0,0,0,0,0,0,0,0.5670000000000001,0.322,0.368,0.302,0.36,positive,joy,covid,15043584
1246156913307455488,0,0,0,1,1,0,0,0,0,0,0.512,0.409,0.345,0.342,0.318,neutral,no specific emotion,corona,1025454501959028742
1272669947215446024,0,1,0,1,0,0,0,0,0,0,0.532,0.415,0.40700000000000003,0.4270000000000001,0.29,positive,joy,covid,97538330
1269640023248257025,1,1,0,0,0,0,0,0,0,0,0.47,0.505,0.46799999999999997,0.485,0.311,negative,anger,covid,600813296
1287697514314043403,0,1,0,0,0,0,0,0,0,0,0.287,0.608,0.595,0.6459999999999999,0.146,very negative,sadness,covid,357729665
1243072726891245568,1,1,0,0,0,0,0,0,0,0,0.6559999999999999,0.275,0.24,0.275,0.446,positive,joy,corona,2723302002
1237406387120062464,0,1,0,0,0,0,0,0,0,0,0.313,0.574,0.5670000000000001,0.537,0.25,negative,anger,covid,18332836
1239742775261831170,1,0,0,0,0,0,0,0,0,0,0.446,0.43799999999999994,0.44299999999999995,0.42,0.318,negative,fear,covid,141148020
1278252259185434626,0,1,0,0,0,0,0,0,0,0,0.545,0.305,0.364,0.377,0.38299999999999995,positive,joy,covid,1271491377768075265
1264305536436244481,0,1,0,1,0,0,0,0,0,0,0.46299999999999997,0.44799999999999995,0.528,0.408,0.261,negative,fear,covid,1261082974050611200
1252198197721739264,1,0,0,0,0,0,0,0,0,0,0.46799999999999997,0.419,0.428,0.365,0.31,negative,fear,covid,570552088
1249000831002783745,1,1,1,1,1,0,0,0,0,0,0.542,0.273,0.287,0.309,0.366,positive,joy,covid,21582670
